##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BT20 paired-end RNA-seq subsampled _end 1_
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	419200
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.55020515267176	40.0	38.0	40.0	36.0	40.0
2	38.39986402671756	40.0	38.0	40.0	35.0	40.0
3	38.382099236641224	40.0	38.0	40.0	35.0	40.0
4	38.352891221374044	40.0	38.0	40.0	35.0	40.0
5	38.32794131679389	39.0	38.0	40.0	35.0	40.0
6	38.41633587786259	40.0	38.0	40.0	35.0	40.0
7	38.435956583969464	40.0	38.0	40.0	35.0	40.0
8	38.37479723282443	40.0	38.0	40.0	35.0	40.0
9	38.36169608778626	40.0	38.0	40.0	35.0	40.0
10	38.272087309160305	39.0	38.0	40.0	35.0	40.0
11	38.293296755725194	39.0	38.0	40.0	35.0	40.0
12	38.25746421755725	39.0	38.0	40.0	35.0	40.0
13	38.17175811068702	39.0	38.0	40.0	35.0	40.0
14	38.152175572519084	39.0	38.0	40.0	35.0	40.0
15	38.08064646946565	39.0	38.0	40.0	35.0	40.0
16	38.113924141221375	39.0	38.0	40.0	35.0	40.0
17	38.04021708015267	39.0	38.0	40.0	35.0	40.0
18	37.98937022900763	39.0	38.0	40.0	35.0	40.0
19	37.940620229007635	39.0	38.0	40.0	34.0	40.0
20	37.89972089694656	39.0	38.0	40.0	34.0	40.0
21	37.84147900763359	39.0	38.0	40.0	34.0	40.0
22	37.71095896946565	39.0	38.0	40.0	33.0	40.0
23	37.66715171755725	39.0	38.0	40.0	33.0	40.0
24	37.60122375954199	39.0	38.0	40.0	33.0	40.0
25	37.51118559160305	39.0	38.0	40.0	33.0	40.0
26	37.58263358778626	39.0	38.0	40.0	33.0	40.0
27	37.51036259541985	39.0	38.0	40.0	33.0	40.0
28	37.639091125954195	39.0	38.0	40.0	33.0	40.0
29	37.57698234732825	39.0	38.0	40.0	33.0	40.0
30	37.51661498091603	39.0	38.0	40.0	33.0	40.0
31	37.62798902671756	39.0	38.0	40.0	34.0	40.0
32	37.55442032442748	39.0	38.0	40.0	33.0	40.0
33	37.49635019083969	39.0	38.0	40.0	33.0	40.0
34	37.43286259541985	39.0	38.0	40.0	33.0	40.0
35	37.37376669847328	39.0	38.0	40.0	33.0	40.0
36	37.26066078244275	39.0	38.0	40.0	33.0	40.0
37	37.1131822519084	39.0	38.0	40.0	33.0	40.0
38	37.091281011450384	39.0	38.0	40.0	33.0	40.0
39	37.03410305343512	39.0	37.0	40.0	33.0	40.0
40	36.90418177480916	39.0	37.0	40.0	33.0	40.0
41	36.80543654580153	39.0	37.0	40.0	33.0	40.0
42	36.66006917938931	39.0	37.0	40.0	32.0	40.0
43	36.652025286259544	39.0	37.0	40.0	32.0	40.0
44	36.55488311068702	39.0	36.0	40.0	31.0	40.0
45	36.40672709923664	39.0	36.0	40.0	31.0	40.0
46	36.31405534351145	39.0	36.0	40.0	31.0	40.0
47	36.15325620229007	39.0	36.0	40.0	31.0	40.0
48	36.060040553435115	39.0	36.0	40.0	30.0	40.0
49	35.94882872137405	39.0	36.0	40.0	30.0	40.0
50	35.90793893129771	39.0	36.0	40.0	30.0	40.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1	1	-0.2271156649532884
1	2	-0.41010628213781786
1	3	-0.2784824094321223
1	4	-0.19635453039099104
1	5	-0.32263557981643487
1	6	-0.39057881587825705
1	7	-0.34267586900880787
1	8	-0.3667614013249505
1	9	-0.37459376768222086
1	10	-0.3048848874677361
1	11	-0.30798886127798397
1	12	-0.32992916133575534
1	13	-0.3540808174986907
1	14	-0.3131587619187428
1	15	-0.4552958404534948
1	16	-0.5531812781947423
1	17	-0.5360970704981725
1	18	-0.4167073100979195
1	19	-0.782981173131077
1	20	-0.37404641156314256
1	21	-0.6706719298300996
1	22	-0.6023139751026818
1	23	-0.5979952541070688
1	24	-0.5744816594400746
1	25	-0.7278041926297334
1	26	-0.3230484745323423
1	27	-0.555543914476047
1	28	-0.35829467479789656
1	29	-0.46134205983828025
1	30	-0.49932089947568414
1	31	-0.20108907468448223
1	32	-0.36222872016059426
1	33	-0.3806635362924595
1	34	-0.34986467797063625
1	35	-0.16094214176520438
1	36	-0.0930322724900634
1	37	-0.24111419683091384
1	38	-0.047909733563940904
1	39	0.02905971848217348
1	40	0.08262188506972024
1	41	-0.47602133815865244
1	42	0.002779633128362491
1	43	-0.22820191514471588
1	44	-0.24004706583177438
1	45	-0.061524246445365804
1	46	0.014509979625564995
1	47	0.12322440697960246
1	48	0.20181632938182759
1	49	-0.18014138056727091
1	50	-0.15216087451099725
2	1	-0.1305789515546607
2	2	-0.27757101977731935
2	3	-0.31335000220254017
2	4	-0.08876432063063078
2	5	-0.35515590501968575
2	6	-0.2603268046967244
2	7	-0.12000553206921438
2	8	-0.2603875029402971
2	9	-0.37730379478249176
2	10	-0.2737302452126542
2	11	-0.07780726812347183
2	12	-0.29954271573901536
2	13	-0.4110340641965138
2	14	-0.22596844119663473
2	15	-0.2613688618136294
2	16	-0.3643542718144417
2	17	-0.22685523792236495
2	18	-0.30553218259861836
2	19	-0.49898313630031765
2	20	-0.5305024643126472
2	21	-0.3129056750021917
2	22	-0.39801634157516474
2	23	-0.652174457316427
2	24	-0.42440590671404266
2	25	-0.4662545692594833
2	26	-0.3243288022962503
2	27	-0.498974766107402
2	28	-0.4837241180687073
2	29	-0.2803250528178154
2	30	-0.44113000260608715
2	31	-0.33257873603778876
2	32	-0.24183523276114727
2	33	-0.38968984702800213
2	34	-0.2628664064131172
2	35	-0.20026954291323307
2	36	-0.38262107388989364
2	37	-0.2880595481741892
2	38	-0.30653594187327116
2	39	-0.10151237464032903
2	40	-0.5599959584315499
2	41	-0.4930496974186269
2	42	-0.3171742750721336
2	43	-0.5420315888745222
2	44	-0.41434235209172243
2	45	-0.5925188477299628
2	46	-0.5272393748758546
2	47	-0.43903153054039734
2	48	-0.515593994327709
2	49	-0.6401418073431913
2	50	-0.5747330529886838
3	1	-0.10402375682424037
3	2	-0.2549234845200985
3	3	-0.11518023013654499
3	4	-0.5278885135722717
3	5	-0.05634662797507417
3	6	-0.26551654497939836
3	7	-0.451120174660403
3	8	-0.404755943791848
3	9	-0.3264351274555892
3	10	-0.5065161991345164
3	11	-0.2800766279275493
3	12	-0.22181944558846567
3	13	-0.3390763191233148
3	14	-0.29973798909041705
3	15	-0.39683183117420384
3	16	-0.10961172438896938
3	17	-0.407889654498824
3	18	-0.494926994393758
3	19	-0.16771495109721712
3	20	-0.6074042814894582
3	21	-0.5412005075255877
3	22	-0.4090176697187573
3	23	-0.4780187497536872
3	24	-0.3878474108174714
3	25	-0.3986420801034285
3	26	-0.38754997275157876
3	27	-0.213600467605211
3	28	-0.44420992689280325
3	29	-0.46080671599138867
3	30	-0.5160280886974249
3	31	-0.4963089002516128
3	32	-0.55016415174439
3	33	-0.5197711478410127
3	34	-0.5493769202434677
3	35	-0.5297643109487353
3	36	-0.738932059096058
3	37	-0.45382415199586035
3	38	-0.8458620433495838
3	39	-0.7530627711641245
3	40	-0.8757179541784197
3	41	-0.4202935307634732
3	42	-0.48866601831817746
3	43	-0.41198099658389964
3	44	-0.4508163995517478
3	45	-0.39727406242091945
3	46	-0.7827880210138716
3	47	-0.660823833449264
3	48	-0.7595348190050757
3	49	-0.5098685782652979
3	50	-0.5199644033191859
4	1	0.03556319373775807
4	2	-0.3887914061747324
4	3	-0.16060500701065195
4	4	-0.1230330504146977
4	5	-0.1640334292788026
4	6	-0.22916149304361255
4	7	-0.07957367613775546
4	8	-0.22109210998637252
4	9	-0.40416366015534066
4	10	-0.24676110455350653
4	11	-0.21940618411262847
4	12	-0.08689300859678184
4	13	-0.12696202992778183
4	14	-0.31415359724174863
4	15	-0.18199129384439772
4	16	-0.31928914374380923
4	17	-0.30065976629023083
4	18	-0.528890867798367
4	19	-0.08850145083830085
4	20	-0.3399045099460096
4	21	-0.08058641632573682
4	22	-0.24736943188026572
4	23	-0.4776836801505908
4	24	-0.4151175073784401
4	25	-0.3027131757810295
4	26	-0.07668914848035513
4	27	-0.09343232358619957
4	28	-0.10617800389788812
4	29	-0.14858276765303202
4	30	-0.14084151585024784
4	31	-0.15509381602730343
4	32	-0.131532758768671
4	33	-0.18912598655069246
4	34	-0.19441636707401244
4	35	-0.09140950269993198
4	36	-0.1720475971873796
4	37	-0.3728134602294375
4	38	-0.498379634503749
4	39	-0.490794654559906
4	40	-0.48483641651355214
4	41	-0.5303562801618682
4	42	-0.5457344638998336
4	43	-0.48654159849075285
4	44	-0.64121970151038
4	45	-0.7710746655462017
4	46	-0.8723962941869843
4	47	-0.48794314868884214
4	48	-0.6974936359047703
4	49	-0.6695368593582316
4	50	-0.4860233755693315
5	1	-0.27963044206956766
5	2	-0.15832982736539947
5	3	-0.4217510862133764
5	4	-0.27846621764960133
5	5	-0.3687060405210403
5	6	-0.3280774822035042
5	7	-0.3395177271911649
5	8	-0.3904688037533077
5	9	-0.222832250067043
5	10	-0.24662997420994515
5	11	-0.3623601136519241
5	12	-0.4811145314571732
5	13	-0.2999229530854066
5	14	-0.28287901030233087
5	15	-0.41042035232853635
5	16	-0.4971455997277232
5	17	-0.48972786664865
5	18	-0.6415755430322179
5	19	-0.780825954728499
5	20	-0.7581447407354105
5	21	-0.5974585205306511
5	22	-0.43866674807923545
5	23	-0.39201185569041286
5	24	-0.5517771804267824
5	25	-0.6153060597743831
5	26	-0.5628111871200971
5	27	-0.36076338399357866
5	28	-0.4024233050605801
5	29	-0.48086705823786957
5	30	-0.590181493120987
5	31	-0.8447738579890114
5	32	-0.8461712761215807
5	33	-0.6823727738572742
5	34	-0.9078528562776143
5	35	-0.9130066702845099
5	36	-0.900236250041651
5	37	-0.6349430170088795
5	38	-1.0111429879437352
5	39	-0.5676370358869463
5	40	-0.852678885260822
5	41	-0.7613423803454538
5	42	-0.7372284756141383
5	43	-0.7832240007986471
5	44	-0.5715239239074421
5	45	-0.6954998775402572
5	46	-0.7413315157972633
5	47	-0.7696548367734621
5	48	-0.6727755661434287
5	49	-0.7783531894570146
5	50	-0.7563048687068417
6	1	-0.47538150672306756
6	2	-0.17306559972312385
6	3	-0.3759467888846899
6	4	-0.2785630043317511
6	5	-0.28096891314977057
6	6	-0.37797101685313095
6	7	-0.46657444418691085
6	8	-0.4353778242720878
6	9	-0.37756995815841066
6	10	-0.4236044225258553
6	11	-0.20154904125548967
6	12	-0.3476456967688293
6	13	-0.30217324344545204
6	14	-0.2531896955520381
6	15	-0.28164567172458277
6	16	-0.3834212481984949
6	17	-0.2059977079184918
6	18	-0.21629486165397793
6	19	-0.4593731866293922
6	20	-0.3993323133254236
6	21	-0.38329378959762295
6	22	-0.4439900155976204
6	23	-0.14329427922893245
6	24	-0.582168198622675
6	25	-0.3775979684077555
6	26	-0.5158212529350408
6	27	-0.6581404649072482
6	28	-0.7245535799347564
6	29	-0.8311864542889751
6	30	-0.925595740120599
6	31	-0.5565915118798372
6	32	-0.5286141719791146
6	33	-0.49596162403148725
6	34	-0.43875200455481433
6	35	-0.8355531278919415
6	36	-0.9798432961121151
6	37	-0.7023065477870389
6	38	-0.9046776375759435
6	39	-0.542157941810288
6	40	-0.5556889510757657
6	41	-0.6071611956764613
6	42	-0.6705424516110412
6	43	-0.7178204003340696
6	44	-0.6929670133383397
6	45	-0.8614164474202468
6	46	-1.0647926075510412
6	47	-1.257048371423096
6	48	-1.2586495498832662
6	49	-0.9398901619696005
6	50	-1.229494957750589
7	1	-0.03565534816313232
7	2	-0.03225907604126377
7	3	-0.04589285041922153
7	4	-0.19599566104054844
7	5	-0.22075890421321986
7	6	-0.07143137686845336
7	7	-0.07249650470012625
7	8	-0.19204832088896495
7	9	-0.03143022880822599
7	10	-0.3057855791708164
7	11	-0.13920064345132488
7	12	-0.14098796665265212
7	13	-0.09226803471316458
7	14	-0.21990902403410217
7	15	-0.20854149707885483
7	16	-0.35089858765974924
7	17	-0.487642671533969
7	18	-0.13069547444600715
7	19	-0.32132741872437265
7	20	-0.28777703437738467
7	21	-0.16036675014913726
7	22	-0.38804082627041936
7	23	-0.41656920582155266
7	24	-0.4156291969630317
7	25	-0.2416347359297788
7	26	-0.22290985244990935
7	27	-0.3707824922275549
7	28	-0.217603816115016
7	29	-0.5063907183002101
7	30	-0.39659982540082694
7	31	-0.6577819880703117
7	32	-0.6796099590338827
7	33	-0.45810894944958847
7	34	-0.6454815462374413
7	35	-0.6068971212533611
7	36	-0.4162820807412473
7	37	-0.39361256080886875
7	38	-0.5053414956124556
7	39	-0.328725987259034
7	40	-0.6253780867836696
7	41	-0.8929712301460171
7	42	-0.9267342044515914
7	43	-0.8408974461658048
7	44	-1.0189835459567433
7	45	-1.188310676961926
7	46	-1.1336678788391765
7	47	-1.299425174691315
7	48	-1.0577447241459978
7	49	-1.118014763016454
7	50	-1.2565918554909175
8	1	0.012357606016045963
8	2	0.2188503546928331
8	3	0.12560490016699788
8	4	0.0807166049478596
8	5	-0.060527317708171324
8	6	0.07425731037519512
8	7	-0.05802234813481277
8	8	0.06523267633841812
8	9	0.09834070525225513
8	10	-0.06061093453237021
8	11	-0.28849450320095116
8	12	-0.16744626656939943
8	13	-0.2801189088911187
8	14	-0.3461129759753163
8	15	-0.06242507750398829
